Id,AyahText,SurahNo,AyahNumber,Comment
115,"Ёки сизга келган Расулдан ҳам, бир пайтлар Мусодан сўралгани каби сўрамоқчимисиз?! Ким иймонни куфрга алмаштирса, Тўғри Йўлдан адашибди.",2,108,
116,"Аҳли Китобнинг кўпчилиги, уларга ҳақ очиқ-равшан бўлганидан кейин ҳам, ўз ичларидаги ҳасад сабабли, сизни имондан сўнг куфрга қайтаришни истайди. Аллоҳнинг буйруғи келгунича, кечиримли бўлинг ва уларга тенглашманг. Аллоҳ Ўзи барча нарсага қодир/ҳар бир нарсанинг ўлчовини қўйган.",2,109,
117,"Сиз Салотни қоим қилинг/Кўрсатилган Йўлга эргашинг, Закотни ато этинг/Қайтариқлардан тийилинг, ўзингиз учун тақдим этган яхшиликларни Аллоҳнинг ҳузурида топасиз. Албатта, Аллоҳ амалларингизни кўриб туради.",2,110,
118,"Улар дедилар: “Жаннатга яҳуд ёки насородан бошқалар кирмайди”. Бу уларнинг орзулари холос. Сен айт: “Агар содиқ бўлсангиз, далилингизни келтиринг”.",2,111,
119,"Йўқ! Ким борлиғини Аллоҳга таслим этса, яхшилик қилувчи бўлса, унинг эвази-мукофоти Рабби ҳузурида. Уларга хавф-хатар йўқ, улар маҳзун бўлмайдилар.",2,112,
120,"Китоб ўқиб туриб, Яҳудлар деди: “Насороларнинг далили яроқсиз”, Насоролар ҳам деди: “Яҳудларнинг далили яроқсиз”. Китобдан илмсиз жоҳиллар ҳам уларнинг гапига ўхшаш гап айтганди. Қиёмат куни Аллоҳнинг Ўзи улар орасидаги ихтилоф борасида ҳукм қилади.",2,113,
121,"Аллоҳнинг масжидларида Унинг Исми зикр этилишини манъ этувчи ҳамда уларни бузишга ҳаракат қилувчи кимсалардан-да золимроғи борми? Улар у ерларга фақат қўрқув ила киришлари керак эди! Уларга дунёда Хорлик, Охиратда Улуғ Азоб бор.",2,114,
122,"Машриқу Мағриб Аллоҳнинг. Қай тарафга юзланманг, Аллоҳнинг юзи ўша ёқда. Албатта, Аллоҳ Восиъ Алим/кенг ризқ берувчи, билгувчи.",2,115,
123,Дедиларки: “Аллоҳ фарзанд олди”. У бундан Пок ва Олийдир! Осмонлару-Ердаги барча борлиқ Унинг. Барчаси Унга бўйин эгади.,2,116,
124,"Осмонлару-Ерни йўқдан бор этган, бир ишни ирода этганида, унга: “Бўл!” дейди - бўлади.",2,117,
125,"Билмайдиган кимсалар дедилар: “Қанийди Аллоҳ бизга гапирса, ёки бизга ҳам бирор оят/ишора келса”. Улардан олдингилар ҳам уларнинг гапига ўхшаш гап айтишган эди - қалблари ўзаро ўхшаш. Биз қатъий имон эгаларига оятларни баён қилганмиз.",2,118,
126,Биз сени Ҳақ ила - Хушхабар бергувчи ва Огоҳ этгувчи қилиб юбордик. Жаҳаннам аҳли ҳақида сен жавобгар эмассан.,2,119,
127,"Уларнинг миллатига/динларига эргашмасанг, на яҳуд на насоро сендан рози бўлмайди. Сен айт: “Албатта, Аллоҳ ўргатган йўл - ана ўша Тўғри Йўлдир”. Агар сенга келган ушбу илмдан кейин ҳам уларнинг ҳаволарига/истакларига эргашсанг, сенга Аллоҳдан ўзга на бир валий/йўл кўрсатувчи бор, на бир ёрдам берувчи.",2,120,
128,"Биз Китоб насиб этганлар уни ҳаққи ила тиловат қилади/унга ҳаққи ила эргашади, унга иймон келтирувчилар ана ўшалардир. Ким унга кофир бўлса/уни инкор этса, зиёнда қолувчилар/бой берувчилар ана ўшалар.",2,121,
129,"Эй Исроил ўғиллари, Сизга берган неъматимни ҳамда сизни оламлардан/бошқа қавмлардан фазилатли қилганимни ёдда тутинг/уларга берилмаган неъматимни сизга берганимни ёдда тутинг!",2,122,
