"No","Text","Izohli","SurahNo","AyahNo"
"2:63","Эсланг, устингизга Турни кўтардик, ва сиздан Аҳд олдик: “Бизнинг берганимизни маҳкам тутинг, ва тақво эгалари бўлиш учун ундагиларни мудом ёдда тутинг”.","",,
"2:64","Бундан кейин яна юз ўгирдингиз. Сизга Аллоҳнинг фазли ва раҳмати бўлмаганида, зиёнда қолиб кетардингиз,","",,
"2:65","Орангиздан Сабт* кунида ҳаддидан ошганларни билардингиз, Биз уларга дедик: “Қувилган, хор маймунлар бўлинг”. (Қавмнинг моддий ва маънавий ҳаётини ислоҳ этиш учун, ҳафтада бир кунни айириб, Салот - илоҳий Китобни/Қонунларни ўрганиш/ўргатиш ҳамда Инфоқ - эҳтиёждан ортганини муҳтожларга бериш, ва бу кун дунёвий ишларни тўхтатиш амр қилинган эди (4:154, 16:124). Улар бунга риоя этишдан безидилар (Ҳут - безиш, 7:163-167). Бундай давомли интизомсизлик инсондан кўра маймунга кўпроқ хос (4:47, 4:154, 5:60)","",,
"2:66","Буни ўтмиш ва келажак насллар учун ибрат, тақво эгалари учун ўгит/эслатма қилдик.","",,
"2:67","Эсланг, Мусо қавмига деди: “Аллоҳ сизга буюради: молни забҳ қилинг/сўйинг/мол-мулк ҳирсидан воз кечинг”. Улар дедилар: “Бизни мазах қиляпсанми?” У деди: “Ундай жоҳиллардан бўлишдан Аллоҳга сиғинаман”.","",,
"2:68","Улар дедилар: “Раббингга дуо қил-чи, қанақа мол экан, очиқласин бизга”. У деди: “У демоқдаки, қари ҳам, ёш ҳам эмас, икковининг ўртасидаги мол. Сизга келган буйруқни бажаринг”.","",,
"2:69","Улар дедилар: “Раббингга дуо қил-чи, молнинг ранги қанақа экан, очиқласин бизга”. У деди: “У демоқдаки, ранги сап-сариқ, кўрган кўз қувонадиган”.","",,
"2:70","Улар дедилар: “У мол бошқа молларга ўхшаб қоляпти. Раббингга дуо қил-чи, у мол қанақа экан, очиқласин бизга, шунда тўғри йўлини топамиз, иншоаллоҳ”.","",,
"2:71","У деди: “У демоқдаки, бу минилмаган, ер ҳайдашда, экин суғоришда ишлатилмаган, айби-кемтиги йўқ, ола ранги йўқ мол”. Улар дедилар: “Мана энди ҳақиқатни келтирдинг”. Ана шундан кейин уни забҳ қилдилар, оз қолса, қилмасдилар.","",,
"2:72","Эсланг, бир тирик жонни ҳалокатга олиб бориб, масъулиятдан ўзингизни олиб қочардингиз. Аллоҳ сизнинг яширганингизни барибир чиқаради.","",,
"2:73","Биз дедик: “Бас, унинг баъзисини узатинг*”. Ана шундай, Аллоҳ ўликларни ҳаётга қайтаради/мусибатлардан нажот беради, ҳамда ақл ишлатишингиз учун Ўз оятларини/ишоратларини кўрсатади. (*Мол-мулкдан бир қисмини ўша ҳалокат ёқасидаги муҳтожларга йўналтиринг).","",,
"2:74","Кейин қалбингиз тошдек ёки тошдан-да баттар қотди. Баъзи тошлар бор, ундан анҳорлар отилиб чиқади, баъзилари бор, ёрилиб сув чиқади, баъзилари бор, Аллоҳдан қўрқиб қулайди. Аллоҳ сизнинг амалларингдан ғофил/бехабар эмас.","",,
"2:75","Наҳотки, улар сизга ишонади деб умид қилсангиз? Улардан бир гуруҳ бор, Аллоҳнинг каломини эшитиб, уни тўлиқ англаб етганидан кейин, уни таҳриф этади/ундаги маъноларни буради, ва буни билиб туриб қилади.","",,
"2:76","Қачонки иймон келтирганларни учратсалар, “Биз иймон келтирганмиз”, дейишади. Қачонки ўзаро холий қолсалар дейдиларки: “Аллоҳ сизга очган илмларни  уларга ҳам айтиб бераяпсиз, Раббингиз ҳузурида сизга қарши ҳужжат қилишлари учунми? Ақлингиз ишламайдими?”","",,
